code,country,EIU21VA,EIU21PV,EIU21GE,EIU21RQ,EIU21RL,EIU21CC,EIU20VA,EIU20PV,EIU20GE,EIU20RQ,EIU20RL,EIU20CC,EIU19VA,EIU19PV,EIU19GE,EIU19RQ,EIU19RL,EIU19CC,EIU18VA,EIU18PV,EIU18GE,EIU18RQ,EIU18RL,EIU18CC,EIU17VA,EIU17PV,EIU17GE,EIU17RQ,EIU17RL,EIU17CC,EIU16VA,EIU16PV,EIU16GE,EIU16RQ,EIU16RL,EIU16CC,EIU15VA,EIU15PV,EIU15GE,EIU15RQ,EIU15RL,EIU15CC,EIU14VA,EIU14PV,EIU14GE,EIU14RQ,EIU14RL,EIU14CC,EIU13VA,EIU13PV,EIU13GE,EIU13RQ,EIU13RL,EIU13CC,EIU12VA,EIU12PV,EIU12GE,EIU12RQ,EIU12RL,EIU12CC,EIU11VA,EIU11PV,EIU11GE,EIU11RQ,EIU11RL,EIU11CC,EIU10VA,EIU10PV,EIU10GE,EIU10RQ,EIU10RL,EIU10CC,EIU09VA,EIU09PV,EIU09GE,EIU09RQ,EIU09RL,EIU09CC,EIU08VA,EIU08PV,EIU08GE,EIU08RQ,EIU08RL,EIU08CC,EIU07VA,EIU07PV,EIU07GE,EIU07RQ,EIU07RL,EIU07CC,EIU06VA,EIU06PV,EIU06GE,EIU06RQ,EIU06RL,EIU06CC,EIU05VA,EIU05PV,EIU05GE,EIU05RQ,EIU05RL,EIU05CC,EIU04VA,EIU04PV,EIU04GE,EIU04RQ,EIU04RL,EIU04CC,EIU03VA,EIU03PV,EIU03GE,EIU03RQ,EIU03RL,EIU03CC,EIU02VA,EIU02PV,EIU02GE,EIU02RQ,EIU02RL,EIU02CC,EIU00VA,EIU00PV,EIU00GE,EIU00RQ,EIU00RL,EIU00CC,EIU98VA,EIU98PV,EIU98GE,EIU98RQ,EIU98RL,EIU98CC,EIU96VA,EIU96PV,EIU96GE,EIU96RQ,EIU96RL,EIU96CC
RWA,Rwanda,0.249,0.500,0.625,0.450,0.500,0.500,0.249,0.500,0.625,0.450,0.500,0.500,0.252,0.500,0.625,0.450,0.500,0.500,0.261,0.500,0.625,0.450,0.500,0.500,0.253,0.500,0.625,0.450,0.469,0.500,0.247,0.500,0.500,0.450,0.469,0.500,0.247,0.500,0.500,0.450,0.469,0.500,0.256,0.500,0.500,0.450,0.438,0.500,0.263,0.450,0.500,0.400,0.406,0.500,0.262,0.450,0.500,0.400,0.375,0.500,0.256,0.550,0.500,0.400,0.375,0.500,0.256,0.550,0.375,0.400,0.375,0.500,0.279,0.500,0.375,0.400,0.406,0.500,0.311,0.550,0.375,0.450,0.500,0.500,0.316,0.550,0.375,0.450,0.469,0.500,0.316,0.400,0.375,0.450,0.469,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WSM,Samoa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAU,Saudi Arabia,0.198,0.550,0.375,0.550,0.594,0.500,0.198,0.550,0.375,0.550,0.594,0.500,0.190,0.600,0.375,0.600,0.594,0.500,0.190,0.600,0.375,0.600,0.594,0.500,0.159,0.550,0.375,0.600,0.594,0.500,0.128,0.500,0.375,0.550,0.688,0.500,0.097,0.500,0.375,0.500,0.688,0.500,0.091,0.550,0.375,0.500,0.688,0.500,0.091,0.550,0.375,0.500,0.656,0.250,0.086,0.500,0.250,0.500,0.656,0.250,0.089,0.500,0.250,0.500,0.594,0.250,0.123,0.500,0.250,0.500,0.563,0.250,0.126,0.450,0.250,0.500,0.531,0.250,0.126,0.450,0.250,0.500,0.531,0.250,0.127,0.450,0.250,0.500,0.531,0.250,0.127,0.450,0.250,0.500,0.531,0.250,0.063,0.400,0.250,0.500,0.563,0.250,0.063,0.350,0.250,0.500,0.563,0.250,0.063,0.550,0.250,0.500,0.594,0.250,0.063,0.550,0.250,0.450,0.594,0.250,0.000,0.500,0.250,0.650,0.438,0.000,0.000,0.550,0.250,0.600,0.500,0.000,0.000,0.500,0.250,0.600,0.500,0.000
SDN,Sudan,0.155,0.000,0.125,0.150,0.313,0.000,0.158,0.150,0.125,0.150,0.313,0.000,0.166,0.200,0.125,0.150,0.313,0.000,0.139,0.350,0.125,0.150,0.313,0.000,0.139,0.350,0.125,0.150,0.313,0.000,0.150,0.300,0.125,0.150,0.281,0.000,0.119,0.250,0.125,0.150,0.281,0.000,0.127,0.150,0.125,0.150,0.281,0.000,0.127,0.150,0.125,0.150,0.281,0.000,0.119,0.100,0.250,0.200,0.313,0.000,0.150,0.100,0.250,0.250,0.313,0.000,0.152,0.100,0.250,0.250,0.344,0.000,0.172,0.100,0.250,0.250,0.344,0.000,0.172,0.150,0.250,0.250,0.344,0.000,0.176,0.225,0.250,0.250,0.344,0.000,0.176,0.250,0.250,0.350,0.344,0.250,0.000,0.200,0.125,0.250,0.125,0.000,0.000,0.100,0.000,0.250,0.125,0.000,0.000,0.150,0.000,0.250,0.125,0.000,0.000,0.250,0.000,0.250,0.188,0.000,0.000,0.150,0.000,0.250,0.063,0.000,0.000,0.150,0.000,0.250,0.063,0.000,0.000,0.150,0.000,0.250,0.063,0.000
SEN,Senegal,0.495,0.600,0.375,0.350,0.313,0.500,0.502,0.600,0.375,0.350,0.375,0.500,0.509,0.600,0.375,0.450,0.375,0.500,0.526,0.600,0.375,0.450,0.375,0.500,0.526,0.600,0.375,0.450,0.375,0.500,0.529,0.600,0.375,0.450,0.375,0.500,0.523,0.600,0.375,0.450,0.375,0.500,0.526,0.750,0.375,0.400,0.375,0.500,0.526,0.700,0.375,0.400,0.344,0.250,0.523,0.700,0.375,0.400,0.344,0.250,0.494,0.400,0.375,0.400,0.313,0.250,0.482,0.350,0.375,0.400,0.313,0.250,0.487,0.500,0.500,0.400,0.344,0.500,0.487,0.550,0.625,0.400,0.313,0.500,0.487,0.550,0.250,0.400,0.375,0.250,0.487,0.550,0.250,0.400,0.375,0.250,0.438,0.550,0.250,0.400,0.500,0.250,0.375,0.500,0.250,0.400,0.500,0.250,0.375,0.500,0.250,0.400,0.500,0.250,0.563,0.500,0.500,0.400,0.625,0.500,0.438,0.300,0.375,0.400,0.531,0.250,0.438,0.250,0.375,0.400,0.531,0.250,0.375,0.300,0.375,0.400,0.375,0.250
SGP,Singapore,0.624,0.900,1.000,0.950,0.969,1.000,0.614,0.850,1.000,0.950,0.969,1.000,0.614,0.900,1.000,0.950,0.969,1.000,0.632,0.900,1.000,0.950,0.969,1.000,0.629,0.900,1.000,0.950,0.969,1.000,0.663,0.800,1.000,0.950,0.969,1.000,0.651,0.850,1.000,0.950,0.969,1.000,0.645,0.850,1.000,0.950,0.969,1.000,0.640,0.900,1.000,0.950,0.969,1.000,0.638,0.900,1.000,0.950,0.969,1.000,0.638,0.900,1.000,0.950,0.969,1.000,0.638,0.900,1.000,0.950,0.969,1.000,0.638,0.950,1.000,0.950,0.969,1.000,0.638,0.950,1.000,0.950,0.969,1.000,0.638,0.925,0.938,0.950,0.969,1.000,0.638,0.850,0.875,0.950,0.969,1.000,0.688,0.850,0.875,0.950,0.969,1.000,0.625,0.850,0.875,0.950,0.969,1.000,0.625,0.850,0.875,0.950,0.969,1.000,0.688,0.900,0.875,0.950,0.938,1.000,0.625,0.700,0.875,0.900,0.813,1.000,0.625,0.700,0.875,0.900,0.781,1.000,0.563,0.900,0.875,0.950,0.781,1.000
SHN,St. Helena,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SLB,Solomon Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SLE,Sierra Leone,0.374,0.550,0.125,0.500,0.313,0.000,0.368,0.500,0.125,0.500,0.313,0.250,0.368,0.550,0.000,0.500,0.313,0.250,0.358,0.550,0.000,0.500,0.313,0.250,0.358,0.550,0.000,0.500,0.313,0.250,0.353,0.550,0.000,0.500,0.313,0.250,0.353,0.550,0.000,0.500,0.313,0.250,0.353,0.500,0.000,0.500,0.313,0.000,0.357,0.550,0.000,0.500,0.313,0.000,0.361,0.400,0.000,0.550,0.313,0.000,0.382,0.450,0.000,0.550,0.313,0.000,0.382,0.450,0.000,0.500,0.313,0.000,0.331,0.400,0.000,0.500,0.313,0.000,0.411,..,..,..,..,..,0.357,..,..,..,..,..,0.357,..,..,..,..,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SLV,El Salvador,0.474,0.750,0.375,0.600,0.313,0.250,0.483,0.750,0.375,0.600,0.313,0.250,0.495,0.750,0.375,0.600,0.313,0.250,0.454,0.650,0.375,0.600,0.313,0.250,0.478,0.700,0.375,0.600,0.313,0.250,0.488,0.700,0.375,0.600,0.344,0.250,0.488,0.700,0.375,0.600,0.344,0.250,0.483,0.700,0.375,0.600,0.344,0.250,0.483,0.750,0.375,0.600,0.344,0.250,0.480,0.750,0.375,0.600,0.344,0.250,0.480,0.750,0.375,0.600,0.313,0.250,0.480,0.750,0.375,0.600,0.313,0.250,0.476,0.750,0.250,0.600,0.313,0.250,0.476,0.800,0.250,0.550,0.344,0.250,0.467,0.750,0.125,0.550,0.344,0.125,0.467,0.700,0.000,0.550,0.344,0.000,0.313,0.700,0.000,0.550,0.344,0.000,0.313,0.650,0.000,0.550,0.344,0.000,0.313,0.600,0.125,0.550,0.313,0.000,0.313,0.700,0.125,0.550,0.313,0.000,0.188,0.700,0.125,0.550,0.188,0.000,0.188,0.450,0.125,0.550,0.188,0.000,0.188,0.450,0.250,0.550,0.188,0.000
SMR,San Marino,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SOM,Somalia,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.100,0.000,0.200,0.000,0.000,0.063,0.100,0.000,0.200,0.000,0.000,0.063,0.100,0.000,0.200,0.000,0.000,0.063,0.100,0.000,0.200,0.000,0.000,0.063,0.050,0.000,0.200,0.000,0.000,0.063,0.050,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SPM,St. Pierre and Miquelon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
STP,São Tomé and Principe,0.500,0.600,0.125,0.400,0.313,0.750,0.500,0.550,0.125,0.400,0.313,0.500,0.500,0.600,0.125,0.400,0.313,0.500,0.500,0.500,0.125,0.400,0.313,0.500,0.500,0.500,0.125,0.400,0.313,0.500,0.500,0.500,0.250,0.400,0.313,0.250,0.500,0.500,0.250,0.400,0.313,0.250,0.500,0.500,0.250,0.400,0.313,0.250,0.500,0.500,0.250,0.400,0.313,0.250,0.500,0.450,0.250,0.350,0.313,0.250,0.500,0.400,0.250,0.350,0.313,0.250,0.500,0.450,0.250,0.350,0.313,0.250,0.500,0.550,0.250,0.350,0.313,0.250,0.500,0.600,0.250,0.350,0.469,0.250,0.469,0.625,0.188,0.350,0.422,0.250,0.438,0.600,0.125,0.350,0.375,0.250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SUN,USSR (former),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SUR,Suriname,0.560,0.550,0.125,0.500,0.500,0.250,0.560,0.550,0.125,0.500,0.500,0.250,0.568,0.700,0.125,0.500,0.531,0.250,0.568,0.650,0.125,0.500,0.531,0.250,0.557,0.650,0.125,0.550,0.531,0.250,0.557,0.650,0.250,0.550,0.531,0.250,0.557,0.650,0.250,0.550,0.531,0.250,0.557,0.650,0.250,0.550,0.531,0.250,0.557,0.650,0.250,0.550,0.531,0.250,0.551,0.650,0.250,0.550,0.531,0.250,0.551,0.650,0.250,0.550,0.531,0.250,0.551,0.650,0.250,0.550,0.531,0.250,0.548,0.650,0.250,0.550,0.531,0.250,0.658,..,..,..,..,..,0.652,..,..,..,..,..,0.652,..,..,..,..,..,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SVK,Slovak Republic,0.695,0.700,0.750,0.650,0.719,0.500,0.692,0.700,0.750,0.650,0.719,0.500,0.702,0.700,0.625,0.750,0.688,0.750,0.699,0.700,0.625,0.750,0.688,0.750,0.702,0.750,0.625,0.800,0.688,0.500,0.708,0.750,0.625,0.800,0.688,0.500,0.708,0.750,0.625,0.700,0.688,0.500,0.711,0.750,0.625,0.700,0.688,0.500,0.711,0.850,0.625,0.700,0.688,0.500,0.711,0.850,0.625,0.700,0.688,0.500,0.711,0.850,0.625,0.700,0.688,0.500,0.711,0.850,0.625,0.650,0.656,0.500,0.679,0.800,0.625,0.600,0.625,0.500,0.710,0.800,0.625,0.600,0.656,0.500,0.714,0.775,0.563,0.600,0.625,0.500,0.714,0.750,0.500,0.650,0.625,0.500,0.625,0.800,0.500,0.750,0.625,0.500,0.625,0.800,0.500,0.750,0.625,0.500,0.625,0.800,0.375,0.700,0.594,0.500,0.625,0.800,0.375,0.650,0.563,0.250,0.438,0.650,0.375,0.550,0.563,0.250,0.500,0.750,0.500,0.450,0.563,0.500,0.563,0.750,0.500,0.450,0.531,0.500
SVN,Slovenia,0.752,0.750,0.750,0.700,0.813,0.750,0.752,0.750,0.750,0.750,0.813,0.750,0.750,0.750,0.625,0.750,0.813,0.750,0.750,0.750,0.625,0.750,0.813,0.750,0.750,0.750,0.625,0.750,0.813,0.750,0.751,0.750,0.625,0.800,0.813,0.750,0.754,0.750,0.625,0.750,0.813,0.750,0.754,0.750,0.625,0.750,0.813,0.750,0.769,0.750,0.625,0.750,0.813,0.750,0.769,0.750,0.625,0.750,0.813,0.750,0.763,0.750,0.625,0.750,0.813,0.750,0.760,0.750,0.625,0.750,0.813,0.750,0.742,0.750,0.625,0.750,0.813,0.750,0.742,0.800,0.625,0.750,0.813,0.750,0.789,0.800,0.500,0.725,0.813,0.750,0.773,0.800,0.500,0.700,0.813,0.750,0.750,0.750,0.500,0.700,0.813,0.750,0.750,0.750,0.500,0.750,0.813,0.750,0.813,0.800,0.500,0.700,0.781,0.500,0.813,0.800,0.500,0.700,0.781,0.500,0.813,0.750,0.500,0.700,0.781,0.500,0.875,0.750,0.500,0.700,0.781,0.750,0.875,0.800,0.625,0.700,0.781,0.750
SWE,Sweden,0.901,0.900,1.000,0.750,0.969,1.000,0.901,0.900,1.000,0.750,0.969,1.000,0.907,0.900,1.000,0.750,0.969,1.000,0.907,0.900,1.000,0.750,0.969,1.000,0.907,0.900,1.000,0.750,1.000,1.000,0.907,0.900,1.000,0.750,1.000,1.000,0.910,0.900,1.000,0.800,1.000,1.000,0.924,0.900,0.875,0.750,0.969,1.000,0.924,0.950,0.875,0.800,0.969,1.000,0.924,0.950,0.875,0.800,0.969,1.000,0.913,0.950,0.875,0.800,0.969,1.000,0.913,0.950,0.875,0.800,0.969,1.000,0.932,0.950,0.875,0.800,0.969,1.000,0.963,1.000,0.875,0.850,0.969,1.000,0.963,0.975,0.875,0.850,0.969,1.000,0.963,0.950,0.875,0.850,0.969,1.000,0.938,1.000,1.000,0.800,1.000,1.000,0.938,1.000,1.000,0.800,1.000,1.000,0.813,0.950,1.000,0.750,1.000,1.000,0.875,0.950,1.000,0.750,1.000,1.000,0.875,0.950,1.000,0.750,1.000,1.000,0.875,0.950,1.000,0.750,1.000,1.000,0.813,0.950,1.000,0.750,1.000,1.000
SWZ,Eswatini,0.310,0.400,0.250,0.650,0.438,0.250,0.310,0.400,0.250,0.600,0.438,0.500,0.313,0.400,0.250,0.600,0.438,0.500,0.308,0.400,0.250,0.600,0.500,0.500,0.308,0.400,0.250,0.600,0.500,0.500,0.308,0.400,0.250,0.600,0.500,0.500,0.311,0.400,0.250,0.600,0.500,0.500,0.311,0.350,0.250,0.550,0.438,0.500,0.316,0.350,0.250,0.550,0.438,0.500,0.316,0.300,0.250,0.550,0.438,0.500,0.319,0.300,0.250,0.550,0.438,0.500,0.301,0.500,0.250,0.550,0.438,0.500,0.371,0.500,0.250,0.550,0.438,0.500,0.371,0.500,0.250,0.550,0.438,0.500,0.365,0.550,0.250,0.550,0.438,0.500,0.365,0.450,0.250,0.550,0.438,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SYC,Seychelles,0.563,0.750,0.500,0.600,0.531,1.000,0.563,0.750,0.500,0.600,0.531,1.000,0.563,0.750,0.500,0.600,0.531,1.000,0.563,0.750,0.500,0.600,0.531,0.750,0.563,0.800,0.500,0.600,0.531,0.750,0.563,0.800,0.500,0.550,0.531,0.750,0.563,0.800,0.500,0.550,0.531,0.750,0.563,0.850,0.500,0.400,0.500,0.500,0.563,0.850,0.500,0.400,0.469,0.500,0.563,0.850,0.500,0.400,0.469,0.500,0.563,0.850,0.500,0.400,0.469,0.500,0.563,0.850,0.500,0.450,0.469,0.500,0.563,0.850,0.500,0.350,0.469,0.500,0.563,0.850,0.500,0.200,0.531,0.500,0.594,0.850,0.500,0.200,0.531,0.500,0.625,0.850,0.500,0.150,0.531,0.500,0.625,0.850,0.500,0.150,0.594,0.500,0.625,0.850,0.500,0.150,0.594,0.500,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
